timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927121218,36,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-9,text,true,,1417,370,10,24,https://reqres.in/api/unknown,36,0,0
1681927121217,36,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-9,,true,,1417,370,10,24,null,36,2,0
1681927121223,32,Get User By ID,200,OK,CRUD Operations 3-4,text,true,,1008,371,10,24,https://reqres.in/api/users/10,32,0,0
1681927121221,37,Get User By ID,304,Not Modified,CRUD Operations 3-8,,true,,636,422,10,24,https://reqres.in/api/users/7,0,0,0
1681927121023,229,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-8,,true,,4928,2377,10,24,null,129,7,0
1681927121229,31,Get User By ID,200,OK,CRUD Operations 3-2,text,true,,998,371,10,24,https://reqres.in/api/users/12,31,0,0
1681927121235,31,Get User By ID,200,OK,CRUD Operations 3-5,text,true,,1010,370,10,24,https://reqres.in/api/users/8,31,0,0
1681927121239,30,Get User By ID,200,OK,CRUD Operations 3-1,text,true,,996,371,10,24,https://reqres.in/api/users/10,30,0,0
1681927119060,2207,https://reqres.in/api/users/23,404,Not Found,Exception Paths Group 2-1,text,false,,692,371,4,24,https://reqres.in/api/users/23,2207,0,1878
1681927119059,2207,Get User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-1,,false,,692,371,4,24,null,2207,7,1878
1681927121246,29,Get User By ID,200,OK,CRUD Operations 3-7,text,true,,996,371,10,24,https://reqres.in/api/users/12,29,0,0
1681927121256,26,Get User By ID,304,Not Modified,CRUD Operations 3-4,,true,,636,422,10,25,https://reqres.in/api/users/8,0,0,0
1681927121256,28,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-9,text,true,,947,372,10,25,https://reqres.in/api/unknown/2,28,0,0
1681927121255,28,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-9,,true,,947,372,10,25,null,28,2,0
1681927121262,27,Get User By ID,200,OK,CRUD Operations 3-2,text,true,,996,370,10,25,https://reqres.in/api/users/7,27,0,0
1681927121270,29,Get User By ID,304,Not Modified,CRUD Operations 3-1,,true,,640,423,10,25,https://reqres.in/api/users/12,0,0,0
1681927121263,37,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-8,text,true,,1423,370,10,25,https://reqres.in/api/unknown,37,0,0
1681927121259,37,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-8,,true,,1423,370,10,25,null,37,5,0
